Sr. no.,DO Sowing,DO Harvesting,No. of seeds,DO Germination,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds
21,12-01-2023,02-05-2023,14,08-05-2023,14,10-05-2023,14,17-05-2023,14,22-05-2023,14,24-05-2023,14,26-05-2023,14,29-05-2023,14,31-05-2023,14,02-06-2023,14,05-06-2023,14,07-06-2023,14,09-06-2023,14,12-06-2023,14
22,12-01-2023,02-05-2023,16,08-05-2023,16,10-05-2023,16,17-05-2023,16,22-05-2023,16,24-05-2023,16,26-05-2023,16,29-05-2023,16,31-05-2023,16,02-06-2023,16,05-06-2023,16,07-06-2023,16,09-06-2023,16,12-06-2023,16
23,12-01-2023,02-05-2023,19,08-05-2023,19,10-05-2023,19,17-05-2023,19,22-05-2023,19,24-05-2023,19,26-05-2023,19,29-05-2023,19,31-05-2023,19,02-06-2023,19,05-06-2023,19,07-06-2023,19,09-06-2023,19,12-06-2023,19
24,12-01-2023,02-05-2023,13,08-05-2023,13,10-05-2023,13,17-05-2023,13,22-05-2023,13,24-05-2023,13,26-05-2023,13,29-05-2023,13,31-05-2023,13,02-06-2023,13,05-06-2023,13,07-06-2023,13,09-06-2023,13,12-06-2023,13
25,12-01-2023,02-05-2023,15,08-05-2023,5,10-05-2023,5,17-05-2023,5,22-05-2023,5,24-05-2023,5,26-05-2023,5,29-05-2023,5,31-05-2023,6,02-06-2023,6,05-06-2023,6,07-06-2023,7,09-06-2023,8,12-06-2023,15
26,12-01-2023,02-05-2023,15,08-05-2023,0,10-05-2023,0,17-05-2023,0,22-05-2023,0,24-05-2023,0,26-05-2023,0,29-05-2023,0,31-05-2023,1,02-06-2023,1,05-06-2023,1,07-06-2023,1,09-06-2023,1,12-06-2023,15
27,12-01-2023,02-05-2023,12,08-05-2023,4,10-05-2023,4,17-05-2023,4,22-05-2023,4,24-05-2023,4,26-05-2023,4,29-05-2023,4,31-05-2023,4,02-06-2023,4,05-06-2023,4,07-06-2023,4,09-06-2023,4,12-06-2023,12
28,12-01-2023,02-05-2023,15,08-05-2023,2,10-05-2023,2,17-05-2023,2,22-05-2023,2,24-05-2023,2,26-05-2023,2,29-05-2023,2,31-05-2023,2,02-06-2023,2,05-06-2023,2,07-06-2023,2,09-06-2023,2,12-06-2023,15
29,12-01-2023,02-05-2023,16,08-05-2023,13,10-05-2023,13,17-05-2023,13,22-05-2023,13,24-05-2023,13,26-05-2023,13,29-05-2023,13,31-05-2023,14,02-06-2023,14,05-06-2023,14,07-06-2023,14,09-06-2023,14,12-06-2023,16
30,12-01-2023,02-05-2023,12,08-05-2023,12,10-05-2023,12,17-05-2023,12,22-05-2023,12,24-05-2023,12,26-05-2023,12,29-05-2023,12,31-05-2023,12,02-06-2023,12,05-06-2023,12,07-06-2023,12,09-06-2023,12,12-06-2023,12
31,12-01-2023,02-05-2023,10,08-05-2023,2,10-05-2023,2,17-05-2023,2,22-05-2023,2,24-05-2023,2,26-05-2023,2,29-05-2023,2,31-05-2023,2,02-06-2023,2,05-06-2023,2,07-06-2023,2,09-06-2023,2,12-06-2023,10
32,12-01-2023,02-05-2023,15,08-05-2023,1,10-05-2023,1,17-05-2023,1,22-05-2023,1,24-05-2023,1,26-05-2023,1,29-05-2023,1,31-05-2023,1,02-06-2023,1,05-06-2023,1,07-06-2023,1,09-06-2023,1,12-06-2023,15
33,12-01-2023,02-05-2023,15,08-05-2023,14,10-05-2023,14,17-05-2023,14,22-05-2023,14,24-05-2023,14,26-05-2023,14,29-05-2023,14,31-05-2023,14,02-06-2023,14,05-06-2023,14,07-06-2023,14,09-06-2023,14,12-06-2023,15
34,12-01-2023,02-05-2023,13,08-05-2023,13,10-05-2023,13,17-05-2023,13,22-05-2023,13,24-05-2023,13,26-05-2023,13,29-05-2023,13,31-05-2023,13,02-06-2023,13,05-06-2023,13,07-06-2023,13,09-06-2023,13,12-06-2023,13
