name,sowing_date,harvesting_date,total_seeds,date_of_germination,number_of_seeds
rill_no_103,12-01-2023,02-05-2023,5,05-06-2023,5
rill_no_103,12-01-2023,02-05-2023,5,07-06-2023,5
rill_no_103,12-01-2023,02-05-2023,5,09-06-2023,5
rill_no_103,12-01-2023,02-05-2023,5,12-06-2023,5
rill_no_104,12-01-2023,02-05-2023,10,08-05-2023,10
rill_no_104,12-01-2023,02-05-2023,10,10-05-2023,10
rill_no_104,12-01-2023,02-05-2023,10,17-05-2023,10
rill_no_104,12-01-2023,02-05-2023,10,22-05-2023,10
rill_no_104,12-01-2023,02-05-2023,10,24-05-2023,10
rill_no_104,12-01-2023,02-05-2023,10,26-05-2023,10
rill_no_104,12-01-2023,02-05-2023,10,29-05-2023,10
rill_no_104,12-01-2023,02-05-2023,10,31-05-2023,10
rill_no_104,12-01-2023,02-05-2023,10,02-06-2023,10
rill_no_104,12-01-2023,02-05-2023,10,05-06-2023,10
rill_no_104,12-01-2023,02-05-2023,10,07-06-2023,10
rill_no_104,12-01-2023,02-05-2023,10,09-06-2023,10
rill_no_104,12-01-2023,02-05-2023,10,12-06-2023,10
rill_no_105,12-01-2023,02-05-2023,6,08-05-2023,1
rill_no_105,12-01-2023,02-05-2023,6,10-05-2023,2
rill_no_105,12-01-2023,02-05-2023,6,17-05-2023,3
rill_no_105,12-01-2023,02-05-2023,6,22-05-2023,3
rill_no_105,12-01-2023,02-05-2023,6,24-05-2023,3
rill_no_105,12-01-2023,02-05-2023,6,26-05-2023,4
rill_no_105,12-01-2023,02-05-2023,6,29-05-2023,5
rill_no_105,12-01-2023,02-05-2023,6,31-05-2023,5
rill_no_105,12-01-2023,02-05-2023,6,02-06-2023,5
rill_no_105,12-01-2023,02-05-2023,6,05-06-2023,5
rill_no_105,12-01-2023,02-05-2023,6,07-06-2023,6
rill_no_105,12-01-2023,02-05-2023,6,09-06-2023,6
rill_no_105,12-01-2023,02-05-2023,6,12-06-2023,6
rill_no_106,12-01-2023,02-05-2023,15,08-05-2023,5
rill_no_106,12-01-2023,02-05-2023,15,10-05-2023,5
rill_no_106,12-01-2023,02-05-2023,15,17-05-2023,5
rill_no_106,12-01-2023,02-05-2023,15,22-05-2023,5
rill_no_106,12-01-2023,02-05-2023,15,24-05-2023,5
rill_no_106,12-01-2023,02-05-2023,15,26-05-2023,5
rill_no_106,12-01-2023,02-05-2023,15,29-05-2023,6
rill_no_106,12-01-2023,02-05-2023,15,31-05-2023,6
rill_no_106,12-01-2023,02-05-2023,15,02-06-2023,8
rill_no_106,12-01-2023,02-05-2023,15,05-06-2023,9
rill_no_106,12-01-2023,02-05-2023,15,07-06-2023,9
rill_no_106,12-01-2023,02-05-2023,15,09-06-2023,9
rill_no_106,12-01-2023,02-05-2023,15,12-06-2023,15
rill_no_107,12-01-2023,02-05-2023,16,08-05-2023,12
rill_no_107,12-01-2023,02-05-2023,16,10-05-2023,12
rill_no_107,12-01-2023,02-05-2023,16,17-05-2023,12
rill_no_107,12-01-2023,02-05-2023,16,22-05-2023,12
rill_no_107,12-01-2023,02-05-2023,16,24-05-2023,12
rill_no_107,12-01-2023,02-05-2023,16,26-05-2023,12
rill_no_107,12-01-2023,02-05-2023,16,29-05-2023,12
rill_no_107,12-01-2023,02-05-2023,16,31-05-2023,12
rill_no_107,12-01-2023,02-05-2023,16,02-06-2023,12
rill_no_107,12-01-2023,02-05-2023,16,05-06-2023,12
rill_no_107,12-01-2023,02-05-2023,16,07-06-2023,13
rill_no_107,12-01-2023,02-05-2023,16,09-06-2023,13
rill_no_107,12-01-2023,02-05-2023,16,12-06-2023,16
rill_no_108,12-01-2023,02-05-2023,10,08-05-2023,10
rill_no_108,12-01-2023,02-05-2023,10,10-05-2023,10
rill_no_108,12-01-2023,02-05-2023,10,17-05-2023,10
rill_no_108,12-01-2023,02-05-2023,10,22-05-2023,10
rill_no_108,12-01-2023,02-05-2023,10,24-05-2023,10
rill_no_108,12-01-2023,02-05-2023,10,26-05-2023,10
rill_no_108,12-01-2023,02-05-2023,10,29-05-2023,10
rill_no_108,12-01-2023,02-05-2023,10,31-05-2023,10
rill_no_108,12-01-2023,02-05-2023,10,02-06-2023,10
rill_no_108,12-01-2023,02-05-2023,10,05-06-2023,10
rill_no_108,12-01-2023,02-05-2023,10,07-06-2023,10
rill_no_108,12-01-2023,02-05-2023,10,09-06-2023,10
rill_no_108,12-01-2023,02-05-2023,10,12-06-2023,10
rill_no_109,12-01-2023,02-05-2023,15,08-05-2023,15
rill_no_109,12-01-2023,02-05-2023,15,10-05-2023,15
rill_no_109,12-01-2023,02-05-2023,15,17-05-2023,15
rill_no_109,12-01-2023,02-05-2023,15,22-05-2023,15
rill_no_109,12-01-2023,02-05-2023,15,24-05-2023,15
rill_no_109,12-01-2023,02-05-2023,15,26-05-2023,15
rill_no_109,12-01-2023,02-05-2023,15,29-05-2023,15
rill_no_109,12-01-2023,02-05-2023,15,31-05-2023,15
rill_no_109,12-01-2023,02-05-2023,15,02-06-2023,15
rill_no_109,12-01-2023,02-05-2023,15,05-06-2023,15
rill_no_109,12-01-2023,02-05-2023,15,07-06-2023,15
rill_no_109,12-01-2023,02-05-2023,15,09-06-2023,15
rill_no_109,12-01-2023,02-05-2023,15,12-06-2023,15
rill_no_11,12-01-2023,02-05-2023,23,08-05-2023,23
rill_no_11,12-01-2023,02-05-2023,23,10-05-2023,23
rill_no_11,12-01-2023,02-05-2023,23,17-05-2023,23
rill_no_11,12-01-2023,02-05-2023,23,22-05-2023,23
rill_no_11,12-01-2023,02-05-2023,23,24-05-2023,23
rill_no_11,12-01-2023,02-05-2023,23,26-05-2023,23
rill_no_11,12-01-2023,02-05-2023,23,29-05-2023,23
rill_no_11,12-01-2023,02-05-2023,23,31-05-2023,23
rill_no_11,12-01-2023,02-05-2023,23,02-06-2023,23
rill_no_11,12-01-2023,02-05-2023,23,05-06-2023,23
rill_no_11,12-01-2023,02-05-2023,23,07-06-2023,23
rill_no_11,12-01-2023,02-05-2023,23,09-06-2023,23
rill_no_11,12-01-2023,02-05-2023,23,12-06-2023,23
rill_no_110,12-01-2023,02-05-2023,15,08-05-2023,6
rill_no_110,12-01-2023,02-05-2023,15,10-05-2023,6
