Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17
124,,,,,,,,,,,,,,,,10
125,,,,,,,,,,,,,,,,10
126,,,,,,,,,,,,,,,,10
127,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
128,,,,,,,,,,,,,,,,10
129,,,,,,,,,,,,,,,,10
130,,,,,,,,,,,,,,,,10
131,,,,,,,,,,,,,,,,10
132,10,3,3,3,3,3,4,5,5,7,9,9,9,10,10,10
133,,,,,,,,,,,,,,,,10
134,,,,,,,,,,,,,,,,10
135,,,,,,,,,,,,,,,,10
136,10,0,0,0,0,0,1,1,1,6,10,10,10,10,10,10
137,,,,,,,,,,,,,,,,10
138,,,,,,,,,,,,,,,,10
139,,,,,,,,,,,,,,,,10
140,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
141,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
142,10,0,0,0,0,0,0,0,2,2,2,2,2,3,4,10
143,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
144,,,,,,,,,,,,,,,,10
145,10,6,6,6,6,6,6,6,6,6,6,7,7,8,8,10
146,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
147,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
148,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
149,10,0,0,0,0,0,0,0,0,4,6,6,6,6,6,10
150,10,2,3,3,3,3,3,4,4,4,5,7,7,9,9,10
151,,,,,,,,,,,,,,,,10
152,10,4,4,4,4,4,4,4,4,5,5,6,6,6,6,10
153,,,,,,,,,,,,,,,,10
154,,,,,,,,,,,,,,,,10
155,,,,,,,,,,,,,,,,10
156,,,,,,,,,,,,,,,,10
157,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
158,10,4,5,5,5,5,5,5,5,5,6,8,8,8,8,10
159,,,,,,,,,,,,,,,,10
160,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
161,,,,,,,,,,,,,,,,10
162,10,0,0,0,1,1,2,2,4,6,6,7,9,9,9,10
